State,County,% Fair or Poor Health,% Low birthweight,% Smokers,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia rate per 100000,Teen Birth Rate,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,% With Annual Mammogram,% Vaccinated (Influenza),% Children in Poverty,Income Ratio (80th% : 20th%),% Children in Single-Parent Households,Social Association Rate,Annual Average Violent Crimes,Violent Crime Rate,Injury Death Rate,Average Daily Air Polution above 2.5 ppm,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
Alabama,Greene,34,16,27,3.8,24,6,10,32,1200.5,49,2058:01:00,8111:01:00,8111:01:00,29,32,46,5.7,72,8.5,55,669,84,9.1,No,19,73,42
Alabama,Hale,29,12,24,6.3,32,30,12,32,1505.5,35,4909:01:00,7326:01:00,7326:01:00,31,34,31,6.2,51,6.8,29,209,90,9.4,No,15,89,53
Alabama,Henry,23,10,23,7.6,29,25,15,22,571.5,27,3442:01:00,3441:01:00,5735:01:00,44,41,29,4.8,22,13.4,34,197,80,9,No,10,87,37
Alabama,Houston,23,11,22,6.9,32,67,13,29,600.9,33,1114:01:00,1513:01:00,658:01:00,42,44,28,5.2,35,11.6,508,488,73,7.1,No,13,88,26
Alabama,Jackson,25,9,24,7.1,34,47,15,24,202.3,34,1848:01:00,2717:01:00,2065:01:00,44,44,20,4.9,27,9.1,163,317,92,10,Yes,12,86,41
Alabama,Jefferson,20,11,18,6.6,29,79,17,15,776.9,27,920:01:00,1085:01:00,524:01:00,42,47,23,5.4,38,14.5,5623,873,102,10.8,No,16,83,34
Alabama,Lamar,25,9,24,7.1,31,10,15,23,258.1,39,,4602:01:00,6903:01:00,38,43,22,5.2,24,7.2,23,162,92,8.8,No,10,90,44
Alabama,Lauderdale,20,10,20,7.4,27,65,16,23,444.1,22,2008:01:00,1783:01:00,635:01:00,40,51,20,4.5,24,14.6,248,269,79,9.6,No,12,88,31
Alabama,Lawrence,24,8,24,7.4,30,49,15,24,263.2,37,6591:01:00,10975:1,784:01:00,38,40,23,5.1,24,12.4,84,260,106,10,No,11,87,50
Alabama,Lee,20,9,19,6.7,20,68,17,32,500,16,1952:01:00,3047:01:00,1068:01:00,36,45,14,6.3,28,8.1,652,416,62,10.8,No,19,83,29
