State,County,% Fair or Poor Health,% Low birthweight,% Smokers,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia rate per 100000,Teen Birth Rate,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,% With Annual Mammogram,% Vaccinated (Influenza),% Children in Poverty,Income Ratio (80th% : 20th%),% Children in Single-Parent Households,Social Association Rate,Annual Average Violent Crimes,Violent Crime Rate,Injury Death Rate,Average Daily Air Polution above 2.5 ppm,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
Georgia,Polk,23,9,23,7.7,33,80,17,11,453.8,43,3539:01:00,3874:01:00,1420:01:00,40,47,23,4.5,31,10.8,235,569,100,9.9,No,18,83,37
Georgia,Pulaski,25,10,23,6.9,35,72,15,20,678.5,37,1581:01:00,11137:1,5569:01:00,43,38,28,5.2,36,9,55,632,75,9.5,No,18,88,36
Georgia,Putnam,21,9,20,8.2,28,64,17,31,543,31,2726:01:00,4424:01:00,2765:01:00,48,49,28,4.2,39,9.2,91,422,84,10.3,No,14,79,37
Georgia,Quitman,28,14,25,5.5,27,49,14,0,508.9,53,,2299:01:00,,50,38,36,5.4,55,0,4,152,104,9,No,18,79,32
Georgia,Rabun,21,8,21,7.9,23,100,18,32,325.3,28,1406:01:00,2448:01:00,779:01:00,36,46,21,4.3,25,13,21,126,107,8.9,No,16,77,29
Georgia,Randolph,31,12,26,5.2,24,0,13,33,494.7,34,3417:01:00,6778:01:00,968:01:00,36,29,38,3.5,75,10.2,18,253,63,9.1,No,17,63,20
Georgia,Richmond,25,12,21,5.8,29,73,16,15,1278.5,38,978:01:00,477:01:00,322:01:00,36,39,34,5.1,49,10.3,865,429,93,9.5,No,20,80,24
Georgia,Rockdale,21,11,17,7.2,33,79,14,21,757.4,19,1394:01:00,1317:01:00,663:01:00,41,47,19,4,38,7.4,266,300,65,10.8,No,17,79,51
Georgia,Schley,22,10,22,7.7,23,25,17,20,153.5,16,,,,38,43,23,5.5,30,9.5,8,155,62,9.7,No,15,89,28
Georgia,Screven,24,11,24,6.8,36,55,16,27,609.2,45,6969:01:00,4655:01:00,2793:01:00,34,32,33,5.2,44,10,46,342,80,9.3,No,17,85,44
Georgia,Seminole,23,13,22,7.2,23,45,16,14,603,52,924:01:00,2023:01:00,4045:01:00,35,33,36,5.3,45,12,23,261,91,9,No,19,82,30
Georgia,Spalding,23,13,22,7,36,72,16,19,613.3,43,2203:01:00,2668:01:00,733:01:00,44,45,29,4.1,40,9.7,374,585,84,10.4,No,18,87,45
Georgia,Stephens,20,9,21,7.4,30,80,17,15,417.1,35,1531:01:00,2593:01:00,1296:01:00,40,49,23,4.9,22,13.1,71,276,102,9.5,No,15,84,28
Georgia,Stewart,34,12,25,6.3,37,5,14,20,534.7,53,,,6621:01:00,34,44,36,5.6,57,4.8,1,23,82,9.4,No,21,79,43
Georgia,Sumter,26,13,22,6.2,30,58,15,18,938.1,37,1487:01:00,1845:01:00,461:01:00,41,45,38,5.3,44,11.4,212,696,77,9.9,No,20,81,19
Georgia,Talbot,26,12,23,6.6,30,13,15,46,576.1,24,3136:01:00,,3098:01:00,36,42,33,4.8,55,4.8,6,90,70,10.1,Yes,15,85,64
Georgia,Taliaferro,29,12,26,3.3,27,35,14,10,430,48,1608:00:00,1537:00:00,,31,36,35,4,31,0,2,178,,9.4,No,19,75,54
Georgia,Tattnall,26,10,25,7.6,37,40,17,32,564.5,42,3627:01:00,8429:01:00,5057:01:00,31,36,34,4.9,39,10.2,25,105,90,9.5,No,17,75,38
Georgia,Taylor,27,10,25,7,39,58,15,25,491.3,36,,8020:01:00,4010:01:00,37,40,32,4.8,38,12.4,15,174,96,10,No,16,85,45
Georgia,Telfair,30,12,26,7.2,37,59,15,29,512.9,43,5292:01:00,7930:01:00,,31,39,34,4.8,37,8.2,20,192,66,9.4,No,11,90,28
Georgia,Terrell,28,12,24,6.5,33,64,14,8,1855.9,48,,8531:01:00,,46,40,40,5.8,51,8.1,34,378,75,9.5,No,20,80,39
Georgia,Thomas,22,11,21,6.5,30,46,16,16,658.8,38,1058:01:00,2223:01:00,445:01:00,49,49,25,5,38,15.5,116,264,67,10.2,Yes,20,80,21
Georgia,Tift,23,12,22,7.3,34,79,15,10,766,39,1309:01:00,2391:01:00,1270:01:00,47,50,31,4.8,40,11.1,230,565,67,9.5,No,15,85,16
Georgia,Toombs,26,12,24,6.7,36,72,16,20,796.3,49,1034:01:00,2064:01:00,1789:01:00,38,36,30,5.9,36,10.4,81,425,86,9.5,Yes,17,84,22
Georgia,Towns,18,7,19,8.1,25,100,19,11,191.2,15,1185:01:00,2006:01:00,4012:01:00,45,49,19,4.1,27,11.8,36,320,105,9,No,18,79,25
Georgia,Treutlen,24,12,24,7.3,30,45,16,15,430.3,35,,6901:01:00,6901:01:00,36,41,48,5.6,30,11.7,5,122,53,9.4,No,16,85,40
Georgia,Troup,22,11,22,7.1,31,73,16,20,792.4,41,1893:01:00,1626:01:00,768:01:00,39,42,27,5.9,37,11.9,233,332,72,10.1,No,18,83,29
Georgia,Turner,26,14,24,6.5,40,20,15,23,753.7,52,7912:01:00,1996:01:00,7985:01:00,44,49,43,7.9,46,15.2,101,1307,80,9.2,No,18,83,29
Georgia,Twiggs,27,10,26,7.2,30,10,15,36,232.4,29,8188:01:00,,,48,40,30,5.9,43,9.8,19,222,110,9.7,No,15,86,53
Georgia,Union,17,8,19,8.4,27,96,19,5,110.8,22,1500:01:00,3064:01:00,1362:01:00,51,50,19,4.6,23,10.4,37,165,92,8.9,No,11,79,28
Georgia,Upson,24,12,24,6.5,33,74,16,42,493.6,48,1638:01:00,4387:01:00,3290:01:00,28,43,29,4.9,35,11.4,101,381,68,10.1,Yes,15,88,28
Georgia,Walker,21,10,23,7,36,54,17,21,240.8,42,5339:01:00,6976:01:00,1517:01:00,38,47,20,4.5,31,8.5,378,556,74,9.2,No,14,84,45
Georgia,Walton,18,9,20,8.1,33,70,16,15,321,25,3896:01:00,2782:01:00,1314:01:00,41,49,17,4.3,27,7.4,266,302,79,10.7,No,15,82,54
Georgia,Ware,24,10,23,6.1,37,78,16,20,878.1,65,1487:01:00,1787:01:00,662:01:00,37,43,42,5.2,40,15.4,177,500,92,9.1,No,15,85,19
Georgia,Warren,28,14,25,7.3,22,8,14,5,565.7,30,1750:01:00,5254:01:00,2627:01:00,49,48,40,5.3,59,9.5,10,278,142,9.7,Yes,20,87,38
Georgia,Washington,26,10,24,6.1,37,28,15,28,758.1,47,1568:01:00,4075:01:00,4075:01:00,42,44,29,5.2,49,8.8,54,264,78,8.1,No,19,81,26
Georgia,Wayne,24,10,23,6.5,30,55,17,11,496.4,49,2484:01:00,4988:01:00,3741:01:00,33,43,27,4.3,28,13.1,176,591,103,9,No,13,83,33
Georgia,Webster,26,12,24,7.4,20,0,15,33,460.7,26,1306:01:00,2607:00:00,,36,48,28,6.7,38,11.5,4,131,107,9.4,No,11,93,28
Georgia,Wheeler,28,9,27,7,35,11,16,27,314.4,45,7879:01:00,,,40,36,34,5.5,37,0,4,50,61,9.3,Yes,11,87,47
Georgia,White,18,7,20,,23,74,19,16,186.7,23,4995:01:00,3080:01:00,1339:01:00,43,49,18,3.6,24,8.3,49,173,77,9.1,Yes,14,84,42
Georgia,Whitfield,26,8,21,7.6,33,67,15,14,451,37,1927:01:00,2491:01:00,879:01:00,43,49,18,3.9,27,8.7,270,263,57,10.2,No,17,84,21
Georgia,Wilcox,25,13,24,7.7,41,21,16,0,443.2,59,8812:01:00,2878:01:00,8635:01:00,43,37,39,5.4,40,4.5,22,258,71,9.4,No,12,86,35
Georgia,Wilkes,26,10,24,6.5,30,69,14,0,707.6,31,2469:01:00,4889:01:00,4889:01:00,39,43,31,5,40,11.1,30,308,93,9.7,No,14,85,32
Georgia,Wilkinson,25,13,24,6.7,30,2,15,10,792.5,38,3012:01:00,8954:01:00,2985:01:00,47,42,29,5.2,40,11.1,14,179,88,9.5,Yes,13,88,40
Georgia,Worth,23,13,23,7.4,34,52,16,8,443.2,35,2900:01:00,10124:1,10124:1,43,40,32,4.3,43,7.9,88,419,90,9.7,No,14,86,44
Hawaii,,15,8,14,7.6,20,93,23,31,541.8,20,1127:01:00,1110:01:00,383:01:00,41,44,11,4.4,21,6.6,4049,284,60,4.3,,27,67,41
Hawaii,Hawaii,17,8,19,7.1,20,71,24,32,345.8,26,1297:01:00,1515:01:00,321:01:00,36,37,19,5.3,25,6.4,462,237,70,15.8,,23,72,36
Hawaii,Honolulu,17,8,15,8.3,20,97,21,25,578.7,18,1078:01:00,989:01:00,374:01:00,44,48,9,4.1,20,6.3,2366,238,57,4.2,,27,65,46
Hawaii,Kalawao,15,,16,7.1,21,100,18,,,,88:00:00,86:00:00,86:00:00,,,,2.8,,0,,,,,,7,35,0
Hawaii,Kauai,16,8,16,8,18,94,25,30,228.7,22,1387:01:00,1475:01:00,479:01:00,44,41,12,4.2,21,9.6,169,235,69,3.5,,23,79,35
Hawaii,Maui,15,8,16,8,18,92,23,49,342.8,21,1161:01:00,1550:01:00,554:01:00,36,39,13,4.3,25,7.1,480,293,62,4.4,,29,74,28
Idaho,,15,7,15,7.7,20,79,17,31,382.8,20,1528:01:00,1506:01:00,459:01:00,40,43,13,4.2,18,7.4,3672,221,76,6.6,,14,79,23
Idaho,Ada,13,7,15,8.6,15,89,20,34,463.4,12,1051:01:00,1235:01:00,335:01:00,45,49,10,4.3,19,8,1005,231,63,6.2,Yes,13,81,20
Idaho,Adams,19,10,21,7.7,19,33,20,13,192.9,,4250:01:00,2147:01:00,1431:01:00,35,36,21,3.6,19,7.1,5,117,147,5.6,No,14,70,29
Idaho,Bannock,17,8,19,7.7,22,75,19,29,355.3,21,1320:01:00,987:01:00,243:01:00,35,45,15,4.6,17,6.2,214,254,92,7.1,Yes,15,77,13
Idaho,Bear Lake,17,9,18,7.9,26,49,19,40,82.9,21,1210:01:00,2042:01:00,1531:01:00,32,24,15,4.3,15,0,11,176,83,5.9,No,11,72,22
Idaho,Benewah,20,7,22,7.1,28,72,18,30,457.3,36,1845:01:00,1033:01:00,387:01:00,34,28,23,3.7,25,5.4,22,272,111,7.9,No,15,79,28
Idaho,Bingham,19,8,19,8.1,23,45,17,32,259.1,26,3082:01:00,2229:01:00,731:01:00,35,31,14,3.9,18,2.4,74,163,86,7.2,Yes,12,75,27
Idaho,Blaine,16,7,15,8.2,14,78,21,42,304.2,12,983:01:00,1212:01:00,512:01:00,42,54,8,4.4,33,9.7,38,173,68,5.4,Yes,18,76,22
Idaho,Boise,15,7,17,6.3,25,80,20,43,164.6,12,7634:01:00,,1566:01:00,42,37,17,4.2,18,7.9,11,164,84,6.8,Yes,13,68,62
Idaho,Bonner,17,7,19,7.7,19,79,21,26,254.8,20,1864:01:00,1830:01:00,472:01:00,32,35,18,4.5,22,10.1,69,166,90,9.2,Yes,18,73,36
Idaho,Bonneville,17,8,16,8.2,20,84,16,20,274.9,25,2597:01:00,1156:01:00,340:01:00,42,49,11,4.1,16,4.2,303,274,80,7.3,Yes,14,79,12
Idaho,Boundary,18,5,19,7.6,27,86,19,20,134.2,21,2390:01:00,1749:01:00,720:01:00,23,26,22,3.8,20,7.5,11,94,78,6.5,Yes,15,79,32
Idaho,Butte,17,7,18,7.5,28,48,19,40,,,2611:01:00,2597:00:00,2597:01:00,31,29,18,5.4,19,0,4,139,,5,No,12,75,26
Idaho,Camas,20,,21,3.2,26,6,18,0,,,1127:00:00,1106:00:00,,39,32,9,4.2,2,0,0,0,,4.8,Yes,23,81,61
Idaho,Canyon,20,7,19,8,24,78,17,29,547.3,26,3148:01:00,2322:01:00,599:01:00,40,44,12,3.7,18,5.3,547,263,63,8.4,Yes,15,79,38
Idaho,Caribou,16,9,17,8.1,20,35,20,20,142.2,12,2353:01:00,1431:01:00,2385:01:00,26,36,13,4.1,12,0,4,59,92,6.1,No,11,72,19
Idaho,Cassia,20,7,19,7.8,26,59,17,29,338.1,35,1256:01:00,1265:01:00,801:01:00,34,42,14,3.8,16,4.6,45,188,108,6.1,No,12,80,15
Idaho,Clark,29,,21,3.2,25,63,15,0,,,852:00:00,845:00:00,845:00:00,36,43,18,3,7,0,2,233,,5,No,19,80,42
Idaho,Clearwater,19,6,20,7.3,24,71,19,50,245.7,24,876:01:00,2189:01:00,876:01:00,41,44,23,3.9,14,6.9,21,239,109,8.1,Yes,10,76,37
Idaho,Custer,18,7,19,6.2,22,76,20,29,,,,2158:01:00,4315:01:00,34,37,18,5.4,13,7,3,60,115,5,No,11,62,20
Idaho,Elmore,19,7,20,7.3,23,88,18,32,559.2,34,1514:01:00,1251:01:00,640:01:00,28,23,17,3.6,20,6.2,47,181,71,6.1,Yes,13,79,19
Idaho,Franklin,17,8,18,8.6,24,67,17,36,132.7,17,2288:01:00,1982:01:00,1735:01:00,39,38,10,3.4,6,0,5,38,81,7,No,15,81,39
Idaho,Fremont,19,6,19,8.5,26,63,18,31,152.7,24,4389:01:00,1637:01:00,1637:01:00,36,41,17,3.4,12,3,11,82,66,6.2,No,12,79,30
Idaho,Gem,20,8,21,7,30,74,19,22,264.7,28,1763:01:00,2264:01:00,1132:01:00,32,36,18,4.1,25,6.2,31,183,111,8.8,Yes,15,77,50
Idaho,Gooding,21,8,20,8.7,28,73,19,40,290.9,33,3799:01:00,3795:01:00,723:01:00,35,28,20,3.6,26,6.6,24,158,90,6,No,16,79,30
Idaho,Idaho,20,5,20,6.8,24,64,22,39,164.9,21,1501:01:00,2381:01:00,1042:01:00,35,24,19,4.3,11,3.6,22,135,133,7.5,Yes,15,69,21
Idaho,Jefferson,17,7,17,8.8,21,66,18,41,101.9,17,4206:01:00,4979:01:00,4267:01:00,35,45,10,3.1,9,1,14,51,60,7.1,No,12,76,25
Idaho,Jerome,23,8,19,7.7,26,72,17,36,389.4,47,2668:01:00,3487:01:00,4882:01:00,34,39,20,4.1,19,6.7,64,278,79,4.4,Yes,14,79,18
Idaho,Kootenai,16,6,17,8,19,86,19,36,399.7,19,1233:01:00,1336:01:00,498:01:00,45,45,13,3.9,21,8.7,384,255,73,10.4,Yes,14,81,26
Idaho,Latah,15,6,17,8.3,15,82,19,31,439.8,8,1216:01:00,2228:01:00,608:01:00,49,48,10,4.7,15,11,41,105,57,8.5,Yes,19,66,23
Idaho,Lemhi,18,7,20,6.9,24,78,19,25,203.2,24,1137:01:00,2676:01:00,730:01:00,37,30,21,4,13,6.3,14,175,142,11.8,Yes,17,72,10
Idaho,Lewis,20,8,21,6.3,24,54,18,29,334.4,31,3861:01:00,1919:01:00,1279:01:00,36,36,21,4.6,19,0,5,129,83,7.6,No,14,76,38
Idaho,Lincoln,23,7,20,4.7,29,20,17,44,376.1,30,5360:01:00,5366:01:00,5366:01:00,30,36,15,3.4,24,0,10,177,101,5.3,No,14,72,50
Idaho,Madison,20,6,18,7.6,16,84,14,0,51.1,6,1572:01:00,1663:01:00,633:01:00,37,43,18,5.6,7,0,21,54,27,6.7,Yes,31,71,16
Idaho,Minidoka,23,7,20,7.9,27,61,17,23,284.6,39,4165:01:00,3006:01:00,2630:01:00,32,35,14,4.2,20,4.3,35,168,94,6.3,Yes,11,83,13
Idaho,Nez Perce,17,6,19,8.1,22,75,20,29,393.7,23,1443:01:00,1263:01:00,348:01:00,45,46,14,4.4,23,10.4,59,145,100,8.2,Yes,13,82,13
Idaho,Oneida,18,7,19,8.3,25,48,19,13,90.4,19,2244:01:00,2266:01:00,755:01:00,33,21,14,3.1,8,0,3,70,104,6,No,15,77,27
Idaho,Owyhee,24,8,21,7.4,27,67,18,60,498.8,27,11693:1,3941:01:00,2956:01:00,32,34,20,3.7,17,2.6,21,183,90,6.8,No,17,75,45
Idaho,Payette,20,7,19,7.6,28,67,18,37,396.3,26,2355:01:00,1842:01:00,921:01:00,40,40,15,3.9,15,5.5,51,220,94,8.5,No,14,82,20
Idaho,Power,22,7,19,8.3,25,69,18,40,315.8,42,3884:01:00,3841:01:00,2560:01:00,35,40,17,3.1,14,3.9,9,110,91,6.1,No,8,74,26
Idaho,Shoshone,21,7,23,7.2,23,93,19,41,303,33,2133:01:00,1840:01:00,805:01:00,35,44,26,4.1,28,7,50,396,122,9.3,No,13,75,22
Idaho,Teton,14,8,14,9.4,17,90,20,40,79.1,17,2910:01:00,2024:01:00,1012:01:00,43,33,11,3.9,9,2.6,9,85,67,5.1,Yes,12,65,53
Idaho,Twin Falls,18,7,17,8.4,26,76,18,27,428.8,27,1411:01:00,1278:01:00,368:01:00,36,50,13,3.8,17,9.1,200,242,108,6.1,Yes,14,82,17
Idaho,Valley,14,5,16,8,19,86,22,27,102.9,12,649:01:00,1627:01:00,542:01:00,37,46,12,4.7,12,14.5,33,327,80,5.7,Yes,17,79,8
Idaho,Washington,22,6,21,7.3,29,74,19,17,345.8,25,2032:01:00,5097:01:00,2549:01:00,33,30,20,4.4,28,3.9,10,100,79,6.9,No,18,70,27
Illinois,,16,8,16,8.7,22,91,22,31,604,19,1241:01:00,1242:01:00,408:01:00,43,49,16,5,25,10,51759,403,65,8.7,,17,73,42
Illinois,Adams,17,8,21,8.5,29,82,22,26,360.8,25,1060:01:00,1309:01:00,364:01:00,52,42,18,4,22,14.8,229,346,83,8.6,Yes,12,83,16
Illinois,Alexander,26,9,27,5.9,19,58,17,20,475.1,52,6060:01:00,1920:01:00,213:01:00,40,37,39,4.2,42,13.2,92,1316,118,9.2,No,17,83,50
Illinois,Bond,18,8,21,8.5,22,63,21,31,277.3,18,1663:01:00,5475:01:00,657:01:00,44,46,17,4.6,16,12.6,7,39,92,8.7,Yes,13,79,38
Illinois,Boone,18,7,19,8.7,26,89,21,29,383.1,16,1847:01:00,2975:01:00,2328:01:00,41,49,12,4.2,19,7.1,92,171,53,9.1,No,13,82,38
Illinois,Brown,19,6,22,8,21,76,22,0,104.2,27,6556:01:00,,313:01:00,50,31,13,4.7,17,13.7,7,134,45,8.1,No,7,84,20
Illinois,Bureau,17,6,20,7.9,34,78,22,34,291.8,17,1941:01:00,2719:01:00,1554:01:00,45,43,14,4,25,15.2,42,132,95,8.8,Yes,10,83,20
Illinois,Calhoun,17,6,22,8.2,21,30,22,0,227.6,12,4802:01:00,4739:01:00,,36,43,13,5,13,0,,,54,8.8,No,11,83,63
Illinois,Carroll,16,5,21,8.3,25,71,23,38,227.3,21,3578:01:00,3576:01:00,795:01:00,34,50,17,3.9,18,16.8,6,47,79,8.6,Yes,10,83,34
Illinois,Cass,21,9,22,8.6,24,60,20,28,463.8,35,,1735:01:00,169:01:00,39,43,16,4,24,14.7,67,518,78,8.4,No,10,82,27
Illinois,Champaign,16,9,17,8.2,22,84,21,26,781.8,12,1040:01:00,1531:01:00,379:01:00,44,50,19,6.3,28,11.9,1007,487,62,7.6,Yes,21,71,13
Illinois,Christian,18,9,22,8.5,32,67,22,37,235.6,28,2512:01:00,4038:01:00,1615:01:00,46,43,17,4.4,21,15.3,50,185,81,8.7,Yes,9,82,41
Illinois,Clark,17,8,22,8.3,35,61,22,25,234.7,26,2599:01:00,5147:01:00,3860:01:00,36,39,16,4.1,21,16.7,24,189,85,8.7,Yes,8,81,30
Illinois,Clay,18,7,23,8,35,52,21,30,226.1,38,6627:01:00,1883:01:00,776:01:00,46,38,18,4.4,13,21.1,8,60,68,8.7,No,11,85,28
Illinois,Clinton,16,7,20,8.7,21,64,22,11,316.4,15,2509:01:00,3130:01:00,1977:01:00,48,41,9,3.9,18,12,51,146,61,9.1,No,9,84,41
Illinois,Coles,19,8,22,7.6,25,77,20,30,617.6,16,1454:01:00,1875:01:00,283:01:00,44,44,18,5.2,27,14.1,147,278,57,8.7,No,14,77,18
Illinois,Cook,18,9,16,8.7,21,99,22,28,830.3,22,1055:01:00,1058:01:00,345:01:00,41,48,18,5.5,30,7.3,31925,620,64,10,Yes,22,61,53
Illinois,Crawford,17,8,22,8.3,32,62,23,25,152.9,28,1881:01:00,2667:01:00,491:01:00,44,41,16,4.9,16,16,42,289,74,8.9,No,11,85,15
Illinois,Cumberland,18,8,23,,25,1,22,19,220,20,,10766:1,2692:01:00,41,40,14,4,10,9.3,13,115,48,8.7,No,9,85,33
Illinois,DeKalb,16,7,19,7.7,20,84,20,37,589.1,9,3471:01:00,1543:01:00,386:01:00,39,54,12,4.9,25,10,283,276,57,9.3,No,18,81,38
Illinois,De Witt,17,6,21,8.8,26,77,22,15,313.6,23,3154:01:00,3128:01:00,2606:01:00,40,42,17,4,15,14,27,188,86,8.4,No,8,86,36
Illinois,Douglas,19,6,22,8.7,22,71,21,24,222.8,18,3896:01:00,1622:01:00,6488:01:00,47,41,11,4.4,16,15.4,36,223,75,8.5,No,12,75,36
Illinois,DuPage,12,7,14,9.3,16,100,21,27,273.6,8,744:01:00,898:01:00,315:01:00,45,56,7,4.2,16,9.5,827,89,42,7.8,Yes,16,76,42
Illinois,Edgar,17,8,22,7.3,31,53,23,6,271.2,27,2893:01:00,3432:01:00,953:01:00,36,35,21,4.1,27,15,48,294,80,8.6,Yes,13,84,26
Illinois,Edwards,16,8,21,8.2,25,42,23,0,123.3,29,,6395:01:00,1599:01:00,43,36,15,4.1,19,23.5,,,77,8.8,No,7,83,30
Illinois,Effingham,16,7,20,8.6,21,58,23,17,243.2,26,1267:01:00,709:01:00,531:01:00,54,34,12,4.2,13,15.2,61,181,78,8.9,Yes,7,85,16
Illinois,Fayette,21,7,25,7,26,53,21,19,169.8,34,7139:01:00,2371:01:00,1067:01:00,43,42,22,4.6,25,16.3,28,135,79,8.8,Yes,12,85,30
Illinois,Ford,18,7,22,7.8,29,65,22,29,248.5,23,1326:01:00,2592:01:00,206:01:00,45,33,14,4.4,27,16.6,34,252,70,8.4,Yes,12,77,35
Illinois,Franklin,20,8,25,7.5,30,60,20,26,343.2,44,2977:01:00,2404:01:00,150:01:00,41,37,23,5,23,15.8,57,160,113,9.1,Yes,13,83,36
Illinois,Fulton,19,8,23,7.8,26,57,21,43,199.4,30,2904:01:00,5723:01:00,1807:01:00,42,36,18,4.4,22,16.4,36,115,84,8.6,No,11,85,38
Illinois,Gallatin,21,7,25,5.3,23,37,21,20,137.8,35,5058:01:00,,,41,31,26,5.6,34,19.8,8,180,86,8.7,No,7,85,41
Illinois,Greene,18,8,23,7.9,23,56,22,31,174.6,24,6522:01:00,3242:01:00,,42,35,19,4.2,28,13.8,27,203,105,8.5,Yes,9,84,46
Illinois,Grundy,15,7,18,8.8,23,88,22,37,239.2,14,3186:01:00,2431:01:00,623:01:00,43,49,7,3.7,21,9.4,50,101,62,8.9,Yes,13,88,45
Illinois,Hamilton,17,8,21,8.4,27,12,23,40,122,27,2721:01:00,8116:01:00,4058:01:00,40,37,17,4,19,30.6,3,55,56,8.2,No,8,77,38
Illinois,Hancock,17,6,21,7.6,26,58,22,0,155.4,21,4461:01:00,2951:01:00,632:01:00,46,40,18,4,24,19.1,10,76,79,8.6,No,7,86,36
Illinois,Hardin,21,8,25,7.4,27,78,21,50,123.6,23,978:01:00,3821:01:00,3821:01:00,37,20,29,4.3,15,10.2,9,207,75,8.6,No,9,86,38
Illinois,Henderson,17,9,21,8.9,28,44,22,22,191.3,22,,604:01:00,2215:01:00,41,47,17,3.6,15,11.9,,,106,8.4,No,7,84,36
Illinois,Henry,16,8,20,8.5,26,77,23,24,269.6,22,4909:01:00,2574:01:00,2329:01:00,45,46,13,4.3,20,13.9,58,130,65,8.9,Yes,8,87,32
Illinois,Iroquois,18,8,22,8,26,42,21,21,204.5,25,2509:01:00,3013:01:00,362:01:00,43,39,15,4.2,21,15.2,36,136,112,8.5,Yes,14,82,34
Illinois,Jackson,19,9,22,6.9,20,78,19,23,1063.8,19,756:01:00,1261:01:00,373:01:00,42,42,28,6.5,38,15.5,246,419,82,9.3,No,20,78,22
Illinois,Jasper,17,7,22,8.1,20,36,22,31,125.3,17,4806:01:00,9610:01:00,260:01:00,50,37,14,5.2,17,15.6,,,88,8.8,No,10,81,39
Illinois,Jefferson,19,9,23,7.3,25,58,20,20,455.7,40,1719:01:00,1794:01:00,414:01:00,45,46,24,4.6,27,18.8,231,603,96,9,No,13,82,19
Illinois,Jersey,16,8,20,8.6,33,74,23,50,205.1,14,2427:01:00,2177:01:00,1361:01:00,45,40,14,4.1,17,9.6,30,132,109,8.4,No,11,86,45
Illinois,Jo Daviess,16,7,19,8.5,23,73,23,20,236.2,14,2137:01:00,1770:01:00,1180:01:00,49,48,13,3.9,19,11.7,29,131,91,8.5,No,11,79,27
Illinois,Johnson,19,6,23,7.2,22,69,22,38,170.5,22,12456:1,4139:01:00,131:01:00,39,43,17,4,22,12.8,31,262,76,8.9,No,10,84,46
Illinois,Kane,16,7,16,9.1,14,96,20,32,407.7,19,2439:01:00,1479:01:00,368:01:00,41,52,13,4.2,19,7.3,857,166,44,8,No,17,80,43
Illinois,Kankakee,19,9,21,8.1,33,80,20,41,615.8,22,2620:01:00,1962:01:00,658:01:00,45,49,18,4.7,30,10.3,310,318,76,8.9,No,15,82,30
Illinois,Kendall,14,7,15,9.6,20,94,23,26,341.5,8,2722:01:00,2632:01:00,977:01:00,44,55,5,3.1,15,5.2,128,104,45,9.5,No,13,83,52
Illinois,Knox,20,8,23,7.6,28,77,22,29,483.8,27,1927:01:00,2367:01:00,546:01:00,48,51,24,5,27,14,156,355,70,8.7,No,11,81,20
Illinois,Lake,14,8,15,8.9,20,99,21,36,459.7,13,900:01:00,850:01:00,336:01:00,44,55,10,4.8,18,8,1057,154,46,9.9,Yes,16,77,47
Illinois,LaSalle,18,7,22,8.1,27,82,21,40,312.5,24,2545:01:00,1874:01:00,1045:01:00,45,48,18,4.4,24,12.7,134,125,92,9.1,Yes,13,85,30
Illinois,Lawrence,20,10,24,7.7,26,41,21,38,185.6,43,3941:01:00,15678:1,424:01:00,39,48,25,4.4,27,15.9,15,107,77,8.9,No,9,83,28
Illinois,Lee,17,6,21,8.5,26,66,22,54,299.4,22,1426:01:00,2273:01:00,205:01:00,40,45,17,4.2,19,13.1,48,142,79,9,Yes,10,86,25
Illinois,Livingston,18,8,22,8.4,26,70,21,23,314.9,24,2235:01:00,2377:01:00,743:01:00,51,52,18,4.5,32,17.9,68,184,96,8.6,No,13,82,27
Illinois,Logan,17,9,20,8,26,74,21,44,458.2,25,3214:01:00,1908:01:00,1244:01:00,51,41,16,4,15,14.9,65,233,69,8.5,Yes,8,80,32
Illinois,McDonough,17,7,20,7.8,24,72,21,21,924.6,8,1997:01:00,3298:01:00,479:01:00,37,49,23,6.2,19,14.7,82,257,62,8.4,No,14,76,18
Illinois,McHenry,14,6,16,9,20,92,24,41,229.4,8,2004:01:00,1570:01:00,489:01:00,42,53,7,3.7,15,7.2,288,96,59,9.6,No,13,83,49
Illinois,McLean,14,8,17,8.1,21,84,21,32,554.9,10,1800:01:00,1491:01:00,378:01:00,55,58,10,5.3,21,11.9,497,287,57,7.9,Yes,13,81,16
Illinois,Macon,18,10,21,7.7,28,85,21,41,767.5,32,1177:01:00,1678:01:00,650:01:00,47,49,22,4.9,32,15.2,417,390,78,7.8,No,13,85,14
Illinois,Macoupin,17,10,21,8.1,22,61,21,33,209,21,4119:01:00,2808:01:00,1728:01:00,45,38,18,4.4,21,16.8,75,170,94,9,No,11,84,44
Illinois,Madison,16,8,21,7.6,27,81,23,32,503,21,2186:01:00,1148:01:00,584:01:00,44,52,15,4.6,25,13.6,581,249,96,9.9,Yes,13,86,38
Illinois,Marion,20,9,23,7.1,33,65,21,26,670.1,41,2894:01:00,2325:01:00,305:01:00,41,48,23,4.5,26,22.1,128,347,102,9,No,12,86,25
