county_name,crime rate per 100000,Murder rate per 100000,Rape rate per 100000,Robbery rate per 100000,Aggrevated Assault rate per 100000,Burglery rate per 100000,Larceny rate per 100000,Motor Vehicle Theft rate per 100000,Arson rate per 100000
"Ritchie County, WV",158.8404646,0,29.78258711,9.927529038,119.1303485,297.8258711,645.2893875,138.9854065,19.85505808
"Summit County, UT",158.4991945,0,20.78677961,20.78677961,116.9256353,231.2529231,2151.431689,88.34381333,2.598347451
"Gloucester County, NJ",158.4758755,2.41158941,9.301844866,59.25619692,87.50624429,609.0985823,1917.213581,99.21967857,8.268306547
"Lapeer County, MI",158.39075,0,49.77994999,6.788174999,101.822625,308.8619625,945.8190499,49.77994999,5.656812499
"Dade County, MO",158.3531275,0,0,0,158.3531275,554.2359462,250.7257852,92.37265769,39.58828187
"Jackson County, IA",158.2682391,0,45.94884362,5.105427069,107.2139684,566.7024047,852.6063205,61.26512483,10.21085414
"Piatt County, IL",158.2182194,0,48.68252906,6.085316132,103.4503742,401.6308647,480.7399744,30.42658066,18.2559484
"Ontonagon County, MI",158.1777918,0,63.27111674,0,94.9066751,347.991142,601.075609,47.45333755,15.81777918
"Steuben County, NY",158.1348201,0,40.54738976,15.20527116,102.3821591,352.7622909,1289.406994,54.73897618,4.054738976
"Buckingham County, VA",157.5630252,0,23.3426704,23.3426704,110.8776844,1225.490196,974.5564893,140.0560224,5.8356676
"Alger County, MI",157.5299307,10.50199538,10.50199538,10.50199538,126.0239445,336.0638521,651.1237135,42.00798152,10.50199538
"Valley County, MT",157.2739187,0,52.42463958,0,104.8492792,117.9554391,615.9895151,131.061599,0
"Washington County, OR",157.1182495,1.801814788,29.36958104,39.45974385,86.48710982,297.659803,1472.262863,102.1628985,14.77488126
"Chippewa County, MN",157.1156868,8.269246672,8.269246672,0,140.5771934,99.23096006,1033.655834,16.53849334,16.53849334
"Borden County, TX",156.9858713,0,0,0,156.9858713,470.9576138,313.9717425,156.9858713,0
"Ferry County, WA",156.9448077,0,13.07873398,0,143.8660738,196.1810097,431.5982213,13.07873398,13.07873398
"Lincoln County, WI",156.8818854,0,20.91758472,0,135.9643007,592.6649003,1202.761121,62.75275415,17.4313206
"Chelan County, WA",156.826693,1.35195425,21.631268,22.98322225,110.8602485,630.0106804,1991.42861,109.5082942,4.05586275
"Madison County, GA",156.8236091,0,10.6925188,24.94921054,121.1818797,687.8853762,1824.856542,163.9519549,21.3850376
"Foard County, TX",156.6170713,0,0,0,156.6170713,78.30853563,0,0,0
"Bleckley County, GA",156.6048078,0,31.32096155,39.15120194,86.13264427,822.1752408,2035.862501,46.98144233,7.830240388
"Mifflin County, PA",156.5985928,0,21.45186202,8.580744809,126.5659859,296.0356959,1791.230479,47.19409645,6.435558606
"Long County, GA",156.400385,6.015399423,72.18479307,18.04619827,60.15399423,926.3715111,782.0019249,114.292589,6.015399423
"Iron County, MI",156.3042723,0,52.10142411,0,104.2028482,564.4320945,1033.344911,191.0385551,0
"Fayette County, OH",156.25,0,20.83333333,55.55555556,79.86111111,1267.361111,2927.083333,104.1666667,17.36111111
"Trinity County, CA",156.1570494,29.74419988,22.30814991,7.43604997,96.66864961,602.3200476,609.7560976,178.4651993,0
"Liberty County, FL",155.7072703,11.97748233,11.97748233,0,131.7523057,263.5046113,371.3019523,0,0
"Barry County, MI",155.6762611,0,43.99546508,3.384266545,108.2965294,291.0469229,901.9070342,49.0718649,8.460666362
"Greenwood County, KS",155.6662516,15.56662516,15.56662516,0,124.5330012,482.5653798,638.2316314,15.56662516,0
"Bolivar County, MS",155.6580223,0,11.74777527,88.10831449,55.80193251,414.1090781,2091.103997,73.42359541,5.873887633
"Chatham County, NC",155.6490115,1.49662511,14.9662511,26.93925199,112.2468833,754.2990556,1106.005957,61.36162953,11.97300088
"Westmoreland County, PA",155.6132514,1.655460121,20.4173415,32.55738239,100.9830674,275.9100202,1129.299713,52.97472388,17.38233127
"Fisher County, TX",155.6016598,0,0,0,155.6016598,881.7427386,778.0082988,51.86721992,0
"Bennington County, VT",155.4870564,0,13.63921547,10.91137238,130.9364685,755.6125372,1775.825854,95.47450831,8.183529283
"West Feliciana Parish, LA",155.4001554,0,45.32504533,12.95001295,97.12509713,246.0502461,997.1509972,0,6.475006475
"Pitkin County, CO",155.3599171,0,34.52442603,5.754071005,115.0814201,149.6058461,2117.49813,34.52442603,11.50814201
"Nez Perce County, ID",155.3300764,0,22.54791432,25.05323813,107.728924,811.7249154,2545.408994,157.8354002,5.010647626
"Rutherford County, NC",155.3258857,1.493518131,7.467590657,20.90925384,125.455523,1288.906147,1683.194934,149.3518131,20.90925384
"Rockland County, NY",155.1870815,0.623241291,8.725378074,44.87337295,100.9650891,168.2751486,980.0469301,39.57582198,5.609171619
"Arenac County, MI",154.9686834,0,45.19919933,12.91405695,96.85542713,477.8201072,962.0972428,90.39839866,25.8281139
"Talbot County, GA",154.8946716,15.48946716,0,46.46840149,92.93680297,449.1945477,1177.199504,92.93680297,0
"Meagher County, MT",154.8786784,0,0,0,154.8786784,103.2524522,980.8982963,51.62622612,0
"Summers County, WV",154.8330015,0,7.373000074,29.49200029,117.9680012,752.0460075,1260.783013,36.86500037,0
"Genesee County, NY",154.7414808,0,20.18367141,13.45578094,121.1020285,447.4047163,1781.209002,53.82312376,26.91156188
"Ulster County, NY",154.697842,0.552492293,17.12726107,20.99470712,115.4708892,403.871866,1582.890419,42.54190654,13.25981503
"Johnston County, OK",154.6860783,9.099181074,9.099181074,0,136.4877161,154.6860783,418.5623294,36.39672429,9.099181074
"Prowers County, CO",154.5846554,0,0,16.27206899,138.3125864,496.2981043,1993.328452,97.63241396,0
"Rawlins County, KS",154.4998069,0,38.62495172,38.62495172,77.24990344,308.9996138,849.7489378,154.4998069,0
"Hall County, TX",154.3686323,0,0,0,154.3686323,524.8533498,771.8431615,154.3686323,0
"Haines Borough, AK",154.3209877,0,0,0,154.3209877,77.16049383,964.5061728,38.58024691,0
"Grady County, GA",154.2843579,0,27.69206425,19.78004589,106.8122478,514.2811931,1368.779176,79.12018356,0
"Antrim County, MI",154.0436457,0,59.90586222,0,94.13778348,406.504065,1193.838254,119.8117244,4.278990158
"Dixon County, NE",153.8198599,0,51.27328662,0,102.5465732,444.368484,991.2835413,34.18219108,51.27328662
"Monona County, IA",153.4919417,0,32.89113036,21.92742024,98.67339108,263.1290429,953.8427804,87.70968096,10.96371012
"Hardin County, TX",153.382536,5.413501272,12.63150297,21.65400509,113.6835267,346.4640814,1127.812765,162.4050382,9.02250212
